Behavior,Fly,Duration (s),Start_Frame,End_Frame,Start_Time (mm:ss),End_Time (mm:ss)
WingExt,Fly 0 (Male),0.1,2675,2677,01:29,01:29
WingExt,Fly 0 (Male),0.167,2707,2711,01:30,01:30
WingExt,Fly 0 (Male),0.1,2740,2742,01:31,01:31
Circling,Fly 0 (Male),0.367,2756,2766,01:32,01:32
WingExt,Fly 1 (Female),0.133,2778,2781,01:33,01:33
Circling,Fly 1 (Female),0.667,2785,2804,01:33,01:33
WingExt,Fly 0 (Male),0.1,2820,2822,01:34,01:34
Circling,Fly 1 (Female),0.3,2821,2829,01:34,01:34
WingExt,Fly 0 (Male),0.267,2824,2831,01:34,01:34
WingExt,Fly 1 (Female),0.1,2844,2846,01:35,01:35
WingExt,Fly 0 (Male),0.133,2849,2852,01:35,01:35
WingExt,Fly 0 (Male),0.3,2868,2876,01:36,01:36
WingExt,Fly 0 (Male),0.1,2881,2883,01:36,01:36
WingExt,Fly 0 (Male),0.1,2886,2888,01:36,01:36
WingExt,Fly 0 (Male),0.1,2897,2899,01:37,01:37
WingExt,Fly 1 (Female),0.1,2920,2922,01:37,01:37
WingExt,Fly 0 (Male),0.1,2961,2963,01:39,01:39
WingExt,Fly 0 (Male),0.1,2966,2968,01:39,01:39
WingExt,Fly 1 (Female),0.2,2974,2979,01:39,01:39
WingExt,Fly 0 (Male),0.167,2992,2996,01:40,01:40
WingExt,Fly 0 (Male),0.233,3019,3025,01:41,01:41
WingExt,Fly 1 (Female),0.1,3100,3102,01:43,01:43
Circling,Fly 1 (Female),0.433,3147,3159,01:45,01:45
Circling,Fly 0 (Male),0.333,3163,3172,01:45,01:46
Circling,Fly 0 (Male),0.4,3208,3219,01:47,01:47
WingExt,Fly 1 (Female),0.167,3230,3234,01:48,01:48
WingExt,Fly 0 (Male),0.133,3256,3259,01:49,01:49
WingExt,Fly 0 (Male),0.1,3263,3265,01:49,01:49
Circling,Fly 0 (Male),0.333,3263,3272,01:49,01:49
WingExt,Fly 0 (Male),0.167,3267,3271,01:49,01:49
WingExt,Fly 0 (Male),0.167,3273,3277,01:49,01:49
WingExt,Fly 0 (Male),0.133,3282,3285,01:49,01:50
WingExt,Fly 1 (Female),0.167,3283,3287,01:49,01:50
WingExt,Fly 0 (Male),0.167,3290,3294,01:50,01:50
Circling,Fly 1 (Female),0.467,3362,3375,01:52,01:52
Circling,Fly 0 (Male),0.533,3382,3397,01:53,01:53
WingExt,Fly 1 (Female),0.1,3403,3405,01:53,01:54
WingExt,Fly 0 (Male),0.133,3407,3410,01:54,01:54
