Behavior,Fly,Duration (s),Start_Frame,End_Frame,Start_Time (mm:ss),End_Time (mm:ss)
WingExt,Fly 1 (Female),0.1,7,9,00:00,00:00
WingExt,Fly 0 (Male),0.1,48,50,00:02,00:02
WingExt,Fly 1 (Female),0.1,60,62,00:02,00:02
WingExt,Fly 1 (Female),0.1,69,71,00:02,00:02
WingExt,Fly 1 (Female),0.1,88,90,00:03,00:03
WingExt,Fly 1 (Female),0.1,104,106,00:03,00:04
WingExt,Fly 1 (Female),0.133,123,126,00:04,00:04
WingExt,Fly 1 (Female),0.1,144,146,00:05,00:05
WingExt,Fly 0 (Male),0.1,154,156,00:05,00:05
WingExt,Fly 0 (Male),0.1,161,163,00:05,00:05
WingExt,Fly 0 (Male),0.1,168,170,00:06,00:06
WingExt,Fly 1 (Female),0.433,178,190,00:06,00:06
WingExt,Fly 1 (Female),0.233,195,201,00:06,00:07
WingExt,Fly 1 (Female),0.2,203,208,00:07,00:07
WingExt,Fly 0 (Male),0.133,272,275,00:09,00:09
WingExt,Fly 1 (Female),0.167,301,305,00:10,00:10
WingExt,Fly 1 (Female),0.2,317,322,00:11,00:11
Circling,Fly 0 (Male),0.6,362,379,00:12,00:13
WingExt,Fly 1 (Female),0.167,366,370,00:12,00:12
WingExt,Fly 1 (Female),0.167,373,377,00:12,00:13
WingExt,Fly 0 (Male),0.167,379,383,00:13,00:13
WingExt,Fly 1 (Female),0.1,381,383,00:13,00:13
WingExt,Fly 0 (Male),0.1,396,398,00:13,00:13
WingExt,Fly 1 (Female),0.167,400,404,00:13,00:13
WingExt,Fly 0 (Male),0.1,404,406,00:13,00:14
WingExt,Fly 1 (Female),0.133,406,409,00:14,00:14
WingExt,Fly 1 (Female),0.133,419,422,00:14,00:14
WingExt,Fly 0 (Male),0.2,425,430,00:14,00:14
WingExt,Fly 0 (Male),0.1,480,482,00:16,00:16
WingExt,Fly 0 (Male),0.1,538,540,00:18,00:18
WingExt,Fly 0 (Male),0.267,549,556,00:18,00:19
WingExt,Fly 1 (Female),0.1,553,555,00:18,00:18
WingExt,Fly 0 (Male),0.1,607,609,00:20,00:20
WingExt,Fly 1 (Female),0.2,611,616,00:20,00:21
WingExt,Fly 1 (Female),0.1,620,622,00:21,00:21
WingExt,Fly 1 (Female),0.1,660,662,00:22,00:22
WingExt,Fly 1 (Female),0.1,668,670,00:22,00:22
WingExt,Fly 0 (Male),0.1,670,672,00:22,00:22
WingExt,Fly 0 (Male),0.133,674,677,00:22,00:23
