Behavior,Fly,Duration (s),Start_Frame,End_Frame,Start_Time (mm:ss),End_Time (mm:ss)
WingExt,Fly 0 (Male),0.1,1,3,00:00,00:00
WingExt,Fly 1 (Female),0.133,3,6,00:00,00:00
WingExt,Fly 1 (Female),0.133,14,17,00:00,00:01
WingExt,Fly 0 (Male),0.2,16,21,00:01,00:01
WingExt,Fly 1 (Female),0.167,80,84,00:03,00:03
Circling,Fly 0 (Male),0.3,84,92,00:03,00:03
WingExt,Fly 1 (Female),0.2,86,91,00:03,00:03
WingExt,Fly 1 (Female),0.2,105,110,00:04,00:04
Circling,Fly 0 (Male),0.433,105,117,00:04,00:04
WingExt,Fly 0 (Male),0.1,128,130,00:04,00:04
WingExt,Fly 0 (Male),0.1,159,161,00:05,00:05
WingExt,Fly 0 (Male),0.1,167,169,00:06,00:06
WingExt,Fly 1 (Female),0.133,194,197,00:06,00:07
WingExt,Fly 1 (Female),0.1,205,207,00:07,00:07
WingExt,Fly 0 (Male),0.1,231,233,00:08,00:08
WingExt,Fly 0 (Male),0.133,295,298,00:10,00:10
WingExt,Fly 1 (Female),0.167,331,335,00:11,00:11
WingExt,Fly 1 (Female),0.133,343,346,00:11,00:12
WingExt,Fly 1 (Female),0.1,378,380,00:13,00:13
WingExt,Fly 1 (Female),0.1,398,400,00:13,00:13
WingExt,Fly 1 (Female),0.3,402,410,00:13,00:14
WingExt,Fly 1 (Female),0.1,412,414,00:14,00:14
Circling,Fly 0 (Male),0.633,412,430,00:14,00:14
WingExt,Fly 1 (Female),0.167,418,422,00:14,00:14
WingExt,Fly 1 (Female),0.1,493,495,00:16,00:16
WingExt,Fly 1 (Female),0.1,497,499,00:17,00:17
WingExt,Fly 1 (Female),0.1,508,510,00:17,00:17
WingExt,Fly 0 (Male),0.1,557,559,00:19,00:19
WingExt,Fly 1 (Female),0.1,569,571,00:19,00:19
WingExt,Fly 1 (Female),0.333,575,584,00:19,00:19
WingExt,Fly 0 (Male),0.167,578,582,00:19,00:19
WingExt,Fly 1 (Female),0.1,589,591,00:20,00:20
WingExt,Fly 1 (Female),0.1,599,601,00:20,00:20
WingExt,Fly 1 (Female),0.167,637,641,00:21,00:21
Circling,Fly 0 (Male),0.467,671,684,00:22,00:23
Circling,Fly 1 (Female),0.3,691,699,00:23,00:23
Circling,Fly 0 (Male),0.367,697,707,00:23,00:24
WingExt,Fly 1 (Female),0.2,707,712,00:24,00:24
WingExt,Fly 1 (Female),0.167,715,719,00:24,00:24
WingExt,Fly 0 (Male),0.533,724,739,00:24,00:25
WingExt,Fly 1 (Female),0.233,726,732,00:24,00:24
Circling,Fly 1 (Female),0.433,741,753,00:25,00:25
WingExt,Fly 0 (Male),0.1,748,750,00:25,00:25
WingExt,Fly 1 (Female),0.1,778,780,00:26,00:26
