Behavior,Fly,Duration (s),Start_Frame,End_Frame,Start_Time (mm:ss),End_Time (mm:ss)
WingExt,Fly 1 (Female),0.1,21,23,00:01,00:01
WingExt,Fly 0 (Male),0.133,82,85,00:03,00:03
WingExt,Fly 1 (Female),0.1,83,85,00:03,00:03
WingExt,Fly 0 (Male),0.1,90,92,00:03,00:03
WingExt,Fly 1 (Female),0.167,236,240,00:08,00:08
WingExt,Fly 1 (Female),0.1,280,282,00:09,00:09
WingExt,Fly 0 (Male),0.1,283,285,00:09,00:10
WingExt,Fly 1 (Female),0.133,286,289,00:10,00:10
Circling,Fly 1 (Female),0.3,296,304,00:10,00:10
Circling,Fly 1 (Female),0.3,317,325,00:11,00:11
WingExt,Fly 1 (Female),0.167,331,335,00:11,00:11
WingExt,Fly 1 (Female),0.1,347,349,00:12,00:12
WingExt,Fly 0 (Male),0.167,352,356,00:12,00:12
WingExt,Fly 0 (Male),0.133,407,410,00:14,00:14
WingExt,Fly 0 (Male),0.133,417,420,00:14,00:14
WingExt,Fly 1 (Female),0.133,549,552,00:18,00:18
WingExt,Fly 0 (Male),0.233,580,586,00:19,00:20
WingExt,Fly 1 (Female),0.133,587,590,00:20,00:20
WingExt,Fly 0 (Male),0.2,592,597,00:20,00:20
WingExt,Fly 1 (Female),0.1,592,594,00:20,00:20
WingExt,Fly 0 (Male),0.167,626,630,00:21,00:21
WingExt,Fly 1 (Female),0.167,632,636,00:21,00:21
WingExt,Fly 1 (Female),0.133,642,645,00:21,00:22
WingExt,Fly 0 (Male),0.1,684,686,00:23,00:23
WingExt,Fly 1 (Female),0.1,749,751,00:25,00:25
WingExt,Fly 0 (Male),0.1,832,834,00:28,00:28
Circling,Fly 0 (Male),0.333,859,868,00:29,00:29
WingExt,Fly 1 (Female),0.1,904,906,00:30,00:30
WingExt,Fly 0 (Male),0.133,966,969,00:32,00:32
WingExt,Fly 1 (Female),0.2,1044,1049,00:35,00:35
WingExt,Fly 0 (Male),0.367,1060,1070,00:35,00:36
WingExt,Fly 0 (Male),0.1,1072,1074,00:36,00:36
WingExt,Fly 1 (Female),0.167,1101,1105,00:37,00:37
WingExt,Fly 1 (Female),0.1,1111,1113,00:37,00:37
WingExt,Fly 1 (Female),0.167,1115,1119,00:37,00:37
WingExt,Fly 1 (Female),0.133,1144,1147,00:38,00:38
WingExt,Fly 1 (Female),0.1,1149,1151,00:38,00:38
Circling,Fly 1 (Female),0.467,1150,1163,00:38,00:39
WingExt,Fly 1 (Female),0.1,1181,1183,00:39,00:39
WingExt,Fly 1 (Female),0.133,1199,1202,00:40,00:40
WingExt,Fly 1 (Female),0.133,1217,1220,00:41,00:41
WingExt,Fly 0 (Male),0.1,1251,1253,00:42,00:42
WingExt,Fly 1 (Female),0.1,1259,1261,00:42,00:42
WingExt,Fly 0 (Male),0.1,1262,1264,00:42,00:42
Circling,Fly 1 (Female),0.467,1277,1290,00:43,00:43
WingExt,Fly 1 (Female),0.133,1279,1282,00:43,00:43
WingExt,Fly 0 (Male),0.1,1301,1303,00:43,00:43
WingExt,Fly 1 (Female),0.1,1310,1312,00:44,00:44
WingExt,Fly 0 (Male),0.1,1351,1353,00:45,00:45
WingExt,Fly 0 (Male),0.233,1369,1375,00:46,00:46
WingExt,Fly 1 (Female),0.3,1369,1377,00:46,00:46
WingExt,Fly 1 (Female),0.167,1387,1391,00:46,00:46
WingExt,Fly 0 (Male),0.133,1390,1393,00:46,00:46
WingExt,Fly 1 (Female),0.2,1400,1405,00:47,00:47
WingExt,Fly 0 (Male),0.1,1420,1422,00:47,00:47
WingExt,Fly 0 (Male),0.233,1424,1430,00:47,00:48
WingExt,Fly 1 (Female),0.167,1426,1430,00:48,00:48
WingExt,Fly 0 (Male),0.167,1442,1446,00:48,00:48
WingExt,Fly 1 (Female),0.1,1447,1449,00:48,00:48
WingExt,Fly 1 (Female),0.2,1457,1462,00:49,00:49
WingExt,Fly 0 (Male),0.133,1460,1463,00:49,00:49
WingExt,Fly 1 (Female),0.133,1472,1475,00:49,00:49
WingExt,Fly 1 (Female),0.1,1493,1495,00:50,00:50
WingExt,Fly 0 (Male),0.1,1501,1503,00:50,00:50
WingExt,Fly 0 (Male),0.133,1524,1527,00:51,00:51
WingExt,Fly 1 (Female),0.233,1526,1532,00:51,00:51
WingExt,Fly 0 (Male),0.1,1530,1532,00:51,00:51
WingExt,Fly 0 (Male),0.133,1546,1549,00:52,00:52
WingExt,Fly 1 (Female),0.167,1571,1575,00:52,00:52
WingExt,Fly 0 (Male),0.133,1574,1577,00:52,00:53
WingExt,Fly 0 (Male),0.2,1583,1588,00:53,00:53
WingExt,Fly 1 (Female),0.1,1603,1605,00:53,00:54
WingExt,Fly 1 (Female),0.167,1613,1617,00:54,00:54
Circling,Fly 0 (Male),0.433,1618,1630,00:54,00:54
Circling,Fly 1 (Female),0.367,1622,1632,00:54,00:54
WingExt,Fly 1 (Female),0.1,1631,1633,00:54,00:54
WingExt,Fly 0 (Male),0.133,1680,1683,00:56,00:56
WingExt,Fly 0 (Male),0.133,1689,1692,00:56,00:56
WingExt,Fly 0 (Male),0.3,1703,1711,00:57,00:57
WingExt,Fly 0 (Male),0.233,1715,1721,00:57,00:57
WingExt,Fly 1 (Female),0.233,1726,1732,00:58,00:58
WingExt,Fly 0 (Male),0.133,1735,1738,00:58,00:58
