Behavior,Fly,Duration (s),Start_Frame,End_Frame,Start_Time (mm:ss),End_Time (mm:ss)
WingExt,Fly 0 (Female),0.1,1472,1474,00:49,00:49
WingExt,Fly 1 (Male),0.233,1480,1486,00:49,00:50
WingExt,Fly 0 (Female),0.1,1493,1495,00:50,00:50
WingExt,Fly 0 (Female),0.333,1507,1516,00:50,00:51
WingExt,Fly 1 (Male),0.2,1509,1514,00:50,00:50
WingExt,Fly 1 (Male),0.1,1517,1519,00:51,00:51
WingExt,Fly 0 (Female),0.267,1518,1525,00:51,00:51
WingExt,Fly 0 (Female),0.1,1533,1535,00:51,00:51
WingExt,Fly 1 (Male),0.1,1535,1537,00:51,00:51
WingExt,Fly 1 (Male),0.133,1543,1546,00:51,00:52
WingExt,Fly 1 (Male),0.1,1587,1589,00:53,00:53
WingExt,Fly 0 (Female),0.1,1588,1590,00:53,00:53
WingExt,Fly 0 (Female),0.2,1592,1597,00:53,00:53
WingExt,Fly 0 (Female),0.1,1599,1601,00:53,00:53
Circling,Fly 1 (Male),0.667,1600,1619,00:53,00:54
Circling,Fly 0 (Female),0.9,1612,1638,00:54,00:55
WingExt,Fly 0 (Female),0.267,1630,1637,00:54,00:55
WingExt,Fly 1 (Male),0.133,1633,1636,00:54,00:55
WingExt,Fly 1 (Male),0.1,1644,1646,00:55,00:55
WingExt,Fly 0 (Female),0.133,1645,1648,00:55,00:55
WingExt,Fly 1 (Male),0.1,1648,1650,00:55,00:55
WingExt,Fly 0 (Female),0.133,1651,1654,00:55,00:55
WingExt,Fly 0 (Female),0.133,1663,1666,00:55,00:56
WingExt,Fly 1 (Male),0.1,1687,1689,00:56,00:56
WingExt,Fly 0 (Female),0.1,1688,1690,00:56,00:56
WingExt,Fly 0 (Female),0.233,1700,1706,00:57,00:57
WingExt,Fly 0 (Female),0.133,1708,1711,00:57,00:57
WingExt,Fly 1 (Male),0.6,1708,1725,00:57,00:58
WingExt,Fly 0 (Female),0.2,1719,1724,00:57,00:57
WingExt,Fly 0 (Female),0.1,1733,1735,00:58,00:58
WingExt,Fly 0 (Female),0.133,1737,1740,00:58,00:58
WingExt,Fly 0 (Female),0.167,1742,1746,00:58,00:58
WingExt,Fly 0 (Female),0.1,1749,1751,00:58,00:58
WingExt,Fly 1 (Male),0.133,1754,1757,00:58,00:59
WingExt,Fly 1 (Male),0.133,1759,1762,00:59,00:59
Circling,Fly 0 (Female),0.3,1770,1778,00:59,00:59
WingExt,Fly 0 (Female),0.1,1794,1796,01:00,01:00
WingExt,Fly 1 (Male),0.1,1803,1805,01:00,01:00
Circling,Fly 0 (Female),0.333,1821,1830,01:01,01:01
WingExt,Fly 1 (Male),0.133,1824,1827,01:01,01:01
WingExt,Fly 1 (Male),0.1,1838,1840,01:01,01:01
WingExt,Fly 0 (Female),0.1,1854,1856,01:02,01:02
WingExt,Fly 1 (Male),0.1,1892,1894,01:03,01:03
Circling,Fly 1 (Male),0.333,1911,1920,01:04,01:04
WingExt,Fly 0 (Female),0.267,1929,1936,01:04,01:05
WingExt,Fly 0 (Female),0.133,1942,1945,01:05,01:05
Circling,Fly 1 (Male),0.3,1949,1957,01:05,01:05
Circling,Fly 0 (Female),0.367,1953,1963,01:05,01:05
WingExt,Fly 1 (Male),0.233,1966,1972,01:06,01:06
WingExt,Fly 1 (Male),0.133,1979,1982,01:06,01:06
WingExt,Fly 0 (Female),0.1,1980,1982,01:06,01:06
WingExt,Fly 1 (Male),0.433,1987,1999,01:06,01:07
WingExt,Fly 1 (Male),0.1,2002,2004,01:07,01:07
WingExt,Fly 0 (Female),0.333,2003,2012,01:07,01:07
WingExt,Fly 0 (Female),0.133,2045,2048,01:08,01:08
WingExt,Fly 1 (Male),0.133,2052,2055,01:08,01:08
WingExt,Fly 0 (Female),0.133,2055,2058,01:08,01:09
WingExt,Fly 0 (Female),0.1,2060,2062,01:09,01:09
WingExt,Fly 0 (Female),0.3,2069,2077,01:09,01:09
Circling,Fly 0 (Female),0.9,2069,2095,01:09,01:10
WingExt,Fly 0 (Female),0.233,2090,2096,01:10,01:10
Circling,Fly 1 (Male),0.3,2130,2138,01:11,01:11
Circling,Fly 0 (Female),0.7,2145,2165,01:12,01:12
WingExt,Fly 0 (Female),0.2,2164,2169,01:12,01:12
Circling,Fly 1 (Male),0.467,2180,2193,01:13,01:13
WingExt,Fly 0 (Female),0.133,2184,2187,01:13,01:13
WingExt,Fly 1 (Male),0.2,2200,2205,01:13,01:14
Circling,Fly 0 (Female),0.4,2203,2214,01:13,01:14
WingExt,Fly 1 (Male),0.1,2211,2213,01:14,01:14
WingExt,Fly 1 (Male),0.1,2215,2217,01:14,01:14
WingExt,Fly 0 (Female),0.2,2220,2225,01:14,01:14
WingExt,Fly 1 (Male),0.1,2220,2222,01:14,01:14
Circling,Fly 0 (Female),0.333,2226,2235,01:14,01:14
WingExt,Fly 1 (Male),0.1,2230,2232,01:14,01:14
WingExt,Fly 1 (Male),0.133,2234,2237,01:14,01:15
WingExt,Fly 1 (Male),0.1,2243,2245,01:15,01:15
WingExt,Fly 1 (Male),0.1,2247,2249,01:15,01:15
WingExt,Fly 0 (Female),0.333,2249,2258,01:15,01:15
WingExt,Fly 1 (Male),0.133,2254,2257,01:15,01:15
WingExt,Fly 1 (Male),0.133,2260,2263,01:15,01:15
Circling,Fly 0 (Female),0.467,2265,2278,01:16,01:16
WingExt,Fly 1 (Male),0.133,2266,2269,01:16,01:16
WingExt,Fly 1 (Male),0.1,2274,2276,01:16,01:16
WingExt,Fly 1 (Male),0.133,2286,2289,01:16,01:16
Circling,Fly 1 (Male),0.767,2286,2308,01:16,01:17
WingExt,Fly 0 (Female),0.1,2287,2289,01:16,01:16
WingExt,Fly 1 (Male),0.133,2300,2303,01:17,01:17
WingExt,Fly 1 (Male),0.1,2305,2307,01:17,01:17
Circling,Fly 1 (Male),0.667,2320,2339,01:17,01:18
Circling,Fly 0 (Female),0.4,2324,2335,01:17,01:18
WingExt,Fly 1 (Male),0.1,2338,2340,01:18,01:18
WingExt,Fly 1 (Male),0.133,2344,2347,01:18,01:18
WingExt,Fly 0 (Female),0.1,2350,2352,01:18,01:18
WingExt,Fly 1 (Male),0.233,2350,2356,01:18,01:19
WingExt,Fly 1 (Male),0.133,2362,2365,01:19,01:19
WingExt,Fly 1 (Male),0.133,2367,2370,01:19,01:19
Circling,Fly 0 (Female),0.367,2376,2386,01:19,01:20
Circling,Fly 1 (Male),0.4,2378,2389,01:19,01:20
WingExt,Fly 1 (Male),0.1,2384,2386,01:19,01:20
WingExt,Fly 1 (Male),0.267,2396,2403,01:20,01:20
Circling,Fly 0 (Female),0.333,2402,2411,01:20,01:20
WingExt,Fly 0 (Female),0.167,2406,2410,01:20,01:20
WingExt,Fly 1 (Male),0.1,2410,2412,01:20,01:20
Circling,Fly 0 (Female),0.567,2414,2430,01:20,01:21
WingExt,Fly 0 (Female),0.233,2420,2426,01:21,01:21
WingExt,Fly 1 (Male),0.1,2423,2425,01:21,01:21
WingExt,Fly 0 (Female),0.133,2432,2435,01:21,01:21
WingExt,Fly 1 (Male),0.1,2442,2444,01:21,01:21
WingExt,Fly 1 (Male),0.233,2447,2453,01:22,01:22
WingExt,Fly 1 (Male),0.233,2459,2465,01:22,01:22
Circling,Fly 1 (Male),0.333,2460,2469,01:22,01:22
Circling,Fly 0 (Female),0.8,2461,2484,01:22,01:23
Circling,Fly 1 (Male),0.4,2472,2483,01:22,01:23
WingExt,Fly 0 (Female),0.1,2496,2498,01:23,01:23
WingExt,Fly 0 (Female),0.1,2502,2504,01:23,01:23
WingExt,Fly 1 (Male),0.1,2505,2507,01:24,01:24
Circling,Fly 1 (Male),0.333,2518,2527,01:24,01:24
Circling,Fly 0 (Female),0.433,2526,2538,01:24,01:25
WingExt,Fly 0 (Female),0.233,2542,2548,01:25,01:25
WingExt,Fly 1 (Male),0.267,2543,2550,01:25,01:25
WingExt,Fly 0 (Female),0.1,2551,2553,01:25,01:25
WingExt,Fly 1 (Male),0.133,2556,2559,01:25,01:25
WingExt,Fly 0 (Female),0.1,2559,2561,01:25,01:25
Circling,Fly 1 (Male),0.8,2562,2585,01:25,01:26
WingExt,Fly 0 (Female),0.1,2564,2566,01:25,01:26
WingExt,Fly 0 (Female),0.167,2570,2574,01:26,01:26
Circling,Fly 0 (Female),0.5,2570,2584,01:26,01:26
Circling,Fly 1 (Male),0.633,2587,2605,01:26,01:27
WingExt,Fly 0 (Female),0.2,2591,2596,01:26,01:27
WingExt,Fly 1 (Male),0.1,2599,2601,01:27,01:27
WingExt,Fly 0 (Female),0.167,2607,2611,01:27,01:27
WingExt,Fly 1 (Male),0.133,2612,2615,01:27,01:27
WingExt,Fly 0 (Female),0.267,2619,2626,01:27,01:28
WingExt,Fly 1 (Male),0.267,2621,2628,01:27,01:28
WingExt,Fly 0 (Female),0.233,2628,2634,01:28,01:28
WingExt,Fly 1 (Male),0.333,2633,2642,01:28,01:28
WingExt,Fly 0 (Female),0.367,2644,2654,01:28,01:28
Circling,Fly 0 (Female),0.333,2648,2657,01:28,01:29
Circling,Fly 1 (Male),0.4,2655,2666,01:28,01:29
WingExt,Fly 0 (Female),0.133,2658,2661,01:29,01:29
Circling,Fly 0 (Female),0.533,2659,2674,01:29,01:29
WingExt,Fly 0 (Female),0.267,2682,2689,01:29,01:30
Circling,Fly 1 (Male),0.433,2692,2704,01:30,01:30
Circling,Fly 0 (Female),0.333,2706,2715,01:30,01:30
WingExt,Fly 1 (Male),0.2,2714,2719,01:30,01:31
WingExt,Fly 0 (Female),0.1,2722,2724,01:31,01:31
WingExt,Fly 1 (Male),0.1,2722,2724,01:31,01:31
WingExt,Fly 0 (Female),0.167,2726,2730,01:31,01:31
Circling,Fly 1 (Male),0.667,2739,2758,01:31,01:32
Circling,Fly 0 (Female),0.333,2748,2757,01:32,01:32
WingExt,Fly 0 (Female),0.133,2750,2753,01:32,01:32
WingExt,Fly 0 (Female),0.167,2769,2773,01:32,01:32
WingExt,Fly 1 (Male),0.367,2771,2781,01:32,01:33
WingExt,Fly 0 (Female),0.2,2776,2781,01:33,01:33
WingExt,Fly 1 (Male),0.133,2783,2786,01:33,01:33
WingExt,Fly 0 (Female),0.233,2792,2798,01:33,01:33
WingExt,Fly 0 (Female),0.167,2804,2808,01:33,01:34
WingExt,Fly 0 (Female),0.4,2810,2821,01:34,01:34
WingExt,Fly 0 (Female),0.3,2823,2831,01:34,01:34
WingExt,Fly 0 (Female),0.2,2833,2838,01:34,01:35
WingExt,Fly 0 (Female),0.1,2840,2842,01:35,01:35
WingExt,Fly 1 (Male),0.167,2844,2848,01:35,01:35
WingExt,Fly 0 (Female),0.1,2854,2856,01:35,01:35
WingExt,Fly 1 (Male),0.133,2895,2898,01:36,01:37
WingExt,Fly 1 (Male),0.1,2906,2908,01:37,01:37
Circling,Fly 0 (Female),0.467,2930,2943,01:38,01:38
WingExt,Fly 0 (Female),0.1,2943,2945,01:38,01:38
WingExt,Fly 0 (Female),0.2,2964,2969,01:39,01:39
WingExt,Fly 0 (Female),0.133,2992,2995,01:40,01:40
WingExt,Fly 1 (Male),0.1,3001,3003,01:40,01:40
WingExt,Fly 1 (Male),0.1,3005,3007,01:40,01:40
WingExt,Fly 0 (Female),0.1,3027,3029,01:41,01:41
WingExt,Fly 1 (Male),0.1,3028,3030,01:41,01:41
WingExt,Fly 1 (Male),0.1,3032,3034,01:41,01:41
WingExt,Fly 1 (Male),0.1,3045,3047,01:42,01:42
WingExt,Fly 0 (Female),0.1,3046,3048,01:42,01:42
WingExt,Fly 0 (Female),0.167,3050,3054,01:42,01:42
WingExt,Fly 1 (Male),0.133,3054,3057,01:42,01:42
WingExt,Fly 0 (Female),0.1,3068,3070,01:42,01:42
WingExt,Fly 1 (Male),0.267,3068,3075,01:42,01:42
WingExt,Fly 1 (Male),0.1,3077,3079,01:43,01:43
WingExt,Fly 1 (Male),0.167,3084,3088,01:43,01:43
Circling,Fly 1 (Male),0.333,3111,3120,01:44,01:44
WingExt,Fly 1 (Male),0.1,3126,3128,01:44,01:44
WingExt,Fly 0 (Female),0.1,3133,3135,01:44,01:44
WingExt,Fly 1 (Male),0.2,3137,3142,01:45,01:45
WingExt,Fly 0 (Female),0.1,3157,3159,01:45,01:45
WingExt,Fly 1 (Male),0.1,3160,3162,01:45,01:45
WingExt,Fly 0 (Female),0.133,3164,3167,01:45,01:46
WingExt,Fly 1 (Male),0.133,3165,3168,01:46,01:46
WingExt,Fly 0 (Female),0.167,3176,3180,01:46,01:46
WingExt,Fly 1 (Male),0.1,3176,3178,01:46,01:46
Circling,Fly 1 (Male),0.367,3193,3203,01:46,01:47
Circling,Fly 0 (Female),0.367,3201,3211,01:47,01:47
Circling,Fly 1 (Male),0.433,3214,3226,01:47,01:48
WingExt,Fly 1 (Male),0.133,3220,3223,01:47,01:47
Circling,Fly 0 (Female),0.533,3226,3241,01:48,01:48
WingExt,Fly 1 (Male),0.133,3233,3236,01:48,01:48
Circling,Fly 1 (Male),0.3,3240,3248,01:48,01:48
WingExt,Fly 1 (Male),0.1,3246,3248,01:48,01:48
WingExt,Fly 1 (Male),0.233,3250,3256,01:48,01:49
WingExt,Fly 1 (Male),0.133,3263,3266,01:49,01:49
WingExt,Fly 0 (Female),0.2,3266,3271,01:49,01:49
WingExt,Fly 1 (Male),0.233,3271,3277,01:49,01:49
WingExt,Fly 0 (Female),0.1,3273,3275,01:49,01:49
WingExt,Fly 1 (Male),0.167,3322,3326,01:51,01:51
WingExt,Fly 0 (Female),0.1,3326,3328,01:51,01:51
WingExt,Fly 1 (Male),0.133,3328,3331,01:51,01:51
WingExt,Fly 0 (Female),0.133,3338,3341,01:51,01:51
WingExt,Fly 1 (Male),0.3,3338,3346,01:51,01:52
